,id,original_title,poster_path,overview,budget,genres,release_date,popularity,revenue,director,top_cast,keywords
6913,618,The Birth of a Nation,/zYtgDRSOQeZmGbHkXff5CcEg05g.jpg,"The Birth of A Nation is a silent film from 1915 and the highest grossing silent film in film history. The film tells a romance story during the American civil war. D.W. Griffith invested heavily in its high production values, pioneering many new camera effects. The Birth of a Nation was strongly protested for its negative portrayal of newly freed slaves (mostly white actors in blackface), which went on to create and propagate negative images of blacks of the early 20th century in the United States. The film was used as a recruiting propaganda by the KKK until the 1940s.",100000, Drama History War,1915-02-08,5.113205,11000000.0,D.W. Griffith, Lillian Gish Mae Marsh Henry B. Walthall, ku klux klan southern usa patriotism army silent film
6918,3089,Red River,/9TwFtppqU0zUvtNTIDxkV7zQebC.jpg,"Dunson is driving his cattle to Red River when his adopted son, Matthew, turns against him.",3000000, Western,1948-08-26,6.09018,9012000.0,Howard Hawks, John Wayne Montgomery Clift Joanne Dru, texas dangerous kansas cattle drive revenge cattle adopted child cattle empire
6920,995,Stagecoach,/wvyS90AJsztvX5wxpDSjURad9yl.jpg,"A simple stagecoach trip is complicated by the fact that Geronimo is on the warpath in the area. The passengers on the coach include a drunken doctor, two women, a bank manager who has taken off with his client's money, and the famous Ringo Kid, among others.",531374, Adventure Western,1939-03-02,7.970462,1103757.0,John Ford, Claire Trevor John Wayne Andy Devine, prostitute marriage proposal new mexico arizona infant fugitive doctor desert stagecoach cowboy stranger indian attack cowboys and indians street shootout outlaw gang ostracism calvary drunkard outcasts
6921,1594,A Shot in the Dark,/eIHCtW49NgGr4s0WEfpSGFBrJCv.jpg,A Shot in the Dark is the second and more successful film from the Pink Panther film series where both animated and real life sequences are mixed. A cult classic from Blake Edwards based on the play L’Idiot by Marcel Achard and Harry Kurnitz.,0, Comedy Crime,1964-06-23,6.872888,12368234.0,Blake Edwards, Peter Sellers Elke Sommer George Sanders, suspicion of murder unskillfulness pink panther
6924,916,Bullitt,/oyhnoFu2oKQfAIdu9YU8I8Ne0pX.jpg,"Senator Walter Chalmers is aiming to take down mob boss Pete Ross with the help of testimony from the criminal's hothead brother Johnny, who is in protective custody in San Francisco under the watch of police lieutenant Frank Bullitt. When a pair of mob hitmen enter the scene, Bullitt follows their trail through a maze of complications and double-crosses. This thriller includes one of the most famous car chases ever filmed.",5500000, Action Crime Drama Thriller,1968-10-17,7.01973,42300873.0,Peter Yates, Steve McQueen Robert Vaughn Jacqueline Bisset, san francisco hotel detective based on novel airport witness protection principal witness  politician suspense organized crime hospital burglary gunfight explosion car chase gritty coroner mob hit ford mustang dodge charger
6928,3062,42nd Street,/tcRQzD2hb5Ng0DIHU796kn0mq4u.jpg,"A producer puts on what may be his last Broadway show, and at the last moment a chorus girl has to replace the star.",439000, Music Comedy Romance,1933-02-02,4.718154,2281000.0,Lloyd Bacon, Warner Baxter Bebe Daniels George Brent, philadelphia musical stage show director broken ankle chorus line pet dog broadway fainting chorus girl opening night crutch theatrical backer eviction show producer chorine plaster cast show must go on financial crisis sock on the jaw
6929,34456,I'm No Angel,/sqjk7gqyZBQFGlOqKPz8LWU8DbZ.jpg,"The bold Tira works as dancing beauty and lion tamer at a fair. Out of an urgent need of money, she agrees to a risky new number: she'll put her head into a lion's muzzle! With this attraction the circus makes it to New York and Tira can persue her dearest occupation: flirting with rich men and accepting expensive presents.",225000, Comedy Romance,1933-10-06,1.533379,2850000.0,Wesley Ruggles, Mae West Cary Grant Gregory Ratoff, romantic comedy
6935,15927,A Passage to India,/rsgf8xM6O2UhAig6SbdXNt8xPLI.jpg,"The film is set during the period of growing influence of the Indian independence movement in the British Raj. It begins with the arrival in India of a British woman, Miss Adela Quested (Judy Davis), who is joining her fiancé, a city magistrate named Ronny Heaslop (Nigel Havers). She and Ronny's mother, Mrs. Moore (Peggy Ashcroft), befriend an Indian doctor, Aziz H. Ahmed (Victor Banerjee).",8000000, Drama Adventure History,1984-12-14,11.842837,27187653.0,David Lean, Judy Davis Alec Guinness Peggy Ashcroft, doctor india english magistrate 1920s mosque
6938,79,英雄,/xkJnow23eDxwQXB0iIWAWkBF47y.jpg,One man defeated three assassins who sought to murder the most powerful warlord in pre-unified China.,31000000, Drama Adventure Action History,2002-12-19,9.861765,177394432.0,Zhang Yimou, Jet Li Tony Leung Chiu-Wai Maggie Cheung, countryside loss of lover right and justice patriot
6940,70881,Anna Karenina,/y2cBxlv07DzUyPAZePXgrmOldgH.jpg,In 19th century Russia a woman in a respectable marriage to a doctor must grapple with her love for a dashing soldier.,1152000, Drama Romance,1935-08-30,1.810574,1439000.0,Clarence Brown, Greta Garbo Fredric March Freddie Bartholomew, based on novel russia marriage love train
6943,37749,Looking for Mr. Goodbar,/9s4ZTveYadZ2xBXPHJqgr6xKVj0.jpg,"A dedicated schoolteacher spends her nights cruising bars, looking for abusive men with whom she can engage in progressively violent sexual encounters.",0, Drama Thriller,1977-10-19,7.637221,22512655.0,Richard Brooks, Diane Keaton Tuesday Weld William Atherton, singles bar
6947,81,風の谷のナウシカ,/hnYowHwLq0iUWriAHtiiCWsI2dP.jpg,"After a global war, the seaside kingdom known as the Valley Of The Wind remains one of the last strongholds on Earth untouched by a poisonous jungle and the powerful insects that guard it. Led by the courageous Princess Nausicaa, the people of the Valley engage in an epic struggle to restore the bond between humanity and Earth.",1000000, Adventure Animation Fantasy,1984-03-11,11.267366,3301446.0,Hayao Miyazaki, Sumi Shimamoto Ichirō Nagai Gorō Naya, saving the world human vs nature fungus spores    future airplane post-apocalyptic war toxic based on manga ecology giant insect duringcreditsstinger anime
6950,10023,Dragnet,/vaFsRAleYZ6tIPxrDP2iwUpO3kU.jpg,"The equally-straight-laced and ""by the book"" nephew of Joe Friday must work with his more laid-back partner to solve a mystery and save ""The Virgin"" Connie Swail...",20000000, Action Comedy Crime,1987-06-25,7.907938,66673516.0,Tom Mankiewicz, Dan Aykroyd Tom Hanks Christopher Plummer, molotow cocktail health food speech impediment reverend ice sculpture miranda warning orange county california female police commissioner homage yugo
6952,11519,1941,/wtADewuMRz7roBBx73fPsvHAiBW.jpg,"It's been six days since the attack on Pearl Harbor. Panic grips California, supposedly the next target of the Japanese forces. Everywhere in California, people are suffering from war nerves. Chaos erupts all over the state. An Army Air Corps Captain, a civilian with a deranged sense of Nationalism, civilian defenders, and a Motor Pool crew all end up chasing a Japanese sub planning to attack LA.",35000000, Action Comedy,1979-12-13,7.812379,31755742.0,Steven Spielberg, Dan Aykroyd Ned Beatty John Belushi, submarine california world war ii war ship pearl harbor satire los angeles anarchic comedy
6956,18857,重案組,/5qmlgzTu7LACLKoBqg0p2FzjfuY.jpg,"A special agent assigned to protect a wealthy business magnate. However, when the businessman is kidnapped in a daring ambush, he teams up with a seasoned detective to crack the case. But soon he discovers the case isn't that simple.",0, Thriller Action Crime Drama,1993-06-24,6.188664,194720.0,Kirk Wong, Jackie Chan Kent Cheng Law Kar-Ying, hostage kidnapping car chase
6965,11811,Leprechaun,/2dsUS77eZIjWduahxqYtp3U0zS2.jpg,"A horrific Leprechaun goes on a rampage after his precious bag of gold coins is stolen. He uses all of his magical destructive powers to trick, terrorize and kill anyone who is unlucky enough to hinder his relentless search. In a frantic attempt to survive the wrath of the Leprechaun, Tori and her friends scramble to find the only weapon known to kill this Irish monster...a four-leaf clover.",900000, Comedy Horror Thriller,1993-01-08,9.096254,8556940.0,Mark Jones, Warwick Davis Jennifer Aniston Ken Olandt, daughter kobold kleeblatt north dakota murder leprechaun
6975,48129,Run,/w4sxXgXpALEDFexRZE9cb3j8bb2.jpg,"While conveying a Porsche from L.A. to Atlantic City, student Charlie has to make a stop due to engine trouble. Mistaken as rich, he's invited to a big poker game -- and wins big time. However Denny Halloran, son of a mighty mobster, is a bad loser and starts a fight. But he's also a bad fighter: he falls on his head and is dead. Now Charlie's in trouble; after he flees Halloran's father puts a reward on his head. Even the police won't help him against the mighty man... so Charlie has to run for his life.",16000000, Action Thriller Drama,1991-02-01,5.857368,4409328.0,Geoff Burrowes, Patrick Dempsey Kelly Preston Ken Pogue, man on the run
6990,10028,Honey,/nC4W7JYMoqFxRBx2HR2MYDYq8Lr.jpg,"Honey Daniels (Jessica Alba) dreams of making a name for herself as a hip-hop choreographer. When she's not busy hitting downtown clubs with her friends, she teaches dance classes at a nearby community center in Harlem, N.Y., as a way to keep kids off the streets. Honey thinks she's hit the jackpot when she meets a hotshot director (David Moscow) who casts her in one of his music videos. But, when he starts demanding sexual favors from her, Honey makes a decision that will change her life.",18000000, Romance Music Family,2003-11-24,11.863954,62646763.0,Bille Woodruff, Jessica Alba Mekhi Phifer Joy Bryant, new york dancing hip-hop dream dance blackmail harassment career video teacher business sabotage choreographer club harlem youth center
6991,616,The Last Samurai,/sLv5pXysIz7QbtKFJy85d5yxv2W.jpg,"Nathan Algren is an American hired to instruct the Japanese army in the ways of modern warfare, which finds him learning to respect the samurai and the honorable principles that rule them. Pressed to destroy the samurai's way of life in the name of modernization and open trade, Algren decides to become an ultimate warrior himself and to fight for their right to exist.",140000000, Drama Action War History,2003-12-05,19.582325,456758981.0,Edward Zwick, Tom Cruise Ken Watanabe William Atherton, japan war crimes sense of guilt swordplay general samurai war veteran katana sword arms deal homeland emperor language barrier self-discovery mountain village foreign legion mercenary campaign commercial agreement insurgence leader war strategy gettysburg loss of husband slaughter soldier alcoholic u.s. soldier japanese army 19th century war trauma
6994,587,Big Fish,/6DRFdlNZpAaEt7eejsbAlJGgaM7.jpg,"Throughout his life Edward Bloom has always been a man of big appetites, enormous passions and tall tales. In his later years, he remains a huge mystery to his son, William. Now, to get to know the real man, Will begins piecing together a true picture of his father from flashbacks of his amazing adventures.",70000000, Adventure Fantasy Drama,2003-12-25,14.739983,122919055.0,Tim Burton, Ewan McGregor Albert Finney Billy Crudup, circus father son relationship witch fish fishing love of one's life leech story teller apoplectic stroke fair mermaid cancer relationship youth gentle giant
6996,6964,Something's Gotta Give,/q1DO4rwTGz1VSX2sEqqboPwsXUF.jpg,"Harry Sanborn is an aged music industry exec with a fondness for younger women like Marin, his latest trophy girlfriend. Things get a little awkward when Harry suffers a heart attack at the home of Marin's mother, Erica. Left in the care of Erica and his doctor, a love triangle starts to take shape.",80000000, Drama Comedy Romance,2003-12-12,8.524847,266728738.0,Nancy Meyers, Jack Nicholson Diane Keaton Keanu Reeves, age difference ladykiller woman director
6997,1792,Stuck on You,/8ar9RJsLL7JSWwvE020D9aATAge.jpg,"In Martha's Vineyard, Mass., conjoined twins Walt (Greg Kinnear) and Bob Tenor (Matt Damon) make the best of their handicap by being the fastest grill cooks in town. While outgoing Walt hopes to one day become a famous actor, shy Bob prefers to stay out of the spotlight. When a fading Hollywood actress, Cher (Cher), decides to get her show ""Honey and the Beaze"" cancelled, she hires Walt -- and his brotherly appendage -- as her costars. But their addition surprisingly achieves the opposite.",55000000, Comedy,2003-12-10,6.96675,33828318.0,Bobby Farrelly, Matt Damon Greg Kinnear Eva Mendes, sex dancer martial arts cook stripper love bully hollywood twins flashback freak actor anxiety conjoined siamese
